iso3,year,pm25_ugm3
AFG,2010,49.6793770289443
AFG,2011,61.8170559083924
AFG,2012,70.9223165078033
AFG,2013,73.1318159038053
AFG,2014,77.1437275538632
AFG,2015,73.4908176326415
AFG,2016,72.7659101386992
AFG,2017,65.8623470043896
AFG,2018,67.2271774798558
AFG,2019,58.3308722306744
AGO,2010,24.17805671622
AGO,2011,24.337940171596
AGO,2012,24.4804929012722
AGO,2013,24.5386584342125
AGO,2014,23.9455836380328
AGO,2015,25.0021502571501
AGO,2016,25.1807008149163
AGO,2017,23.9591508117097
AGO,2018,24.2650153621146
AGO,2019,24.5988113283925
ALB,2010,20.8141104654758
ALB,2011,22.7999042481871
ALB,2012,20.9627204112539
ALB,2013,19.4075322522058
ALB,2014,19.3679442180935
ALB,2015,19.121557306579
ALB,2016,17.602163992984
ALB,2017,18.5552438171978
ALB,2018,19.0461862321065
ALB,2019,15.70470712234
AND,2010,12.375135954824
AND,2011,13.4732948489243
AND,2012,12.2593146393596
AND,2013,11.2698563251216
AND,2014,10.4359992732348
AND,2015,11.1088936507291
AND,2016,10.1068248002358
AND,2017,10.0219190390452
AND,2018,9.89580638748632
AND,2019,9.01087465277866
ARE,2010,42.4230172315555
ARE,2011,46.4897172925459
ARE,2012,49.8585704896572
ARE,2013,43.6717315179427
ARE,2014,38.4444708976302
ARE,2015,48.347575903809
ARE,2016,43.0819708202795
ARE,2017,44.2485056396036
ARE,2018,45.9879061419392
ARE,2019,41.955626323257
ARG,2010,13.9279831494715
ARG,2011,14.2389306717038
ARG,2012,13.3571618542264
ARG,2013,14.7643699932772
ARG,2014,13.9500593062949
ARG,2015,14.6245514656634
ARG,2016,14.2700594540808
ARG,2017,13.9690174802422
ARG,2018,14.1850800443346
ARG,2019,14.3996238920365
ARM,2010,34.4470166846987
ARM,2011,41.8107255386856
ARM,2012,43.2896148307344
ARM,2013,41.050500477264
ARM,2014,38.639237611456
ARM,2015,38.1148586893988
ARM,2016,35.8609078798257
ARM,2017,34.0153569947094
ARM,2018,34.201366074335
ARM,2019,32.6618235324139
ASM,2010,6.1247872217854
ASM,2011,5.78713264863392
ASM,2012,5.89952284418671
ASM,2013,6.0364805967779
ASM,2014,6.38148164002644
ASM,2015,6.34587688465646
ASM,2016,6.92969282658657
ASM,2017,6.92339918062073
ASM,2018,6.98174556652016
ASM,2019,6.72853173807719
ATG,2010,17.5974662934196
ATG,2011,17.2285490405827
ATG,2012,17.5622893176979
ATG,2013,18.0647918322846
ATG,2014,18.1521399923532
ATG,2015,19.7963197860936
ATG,2016,19.9208792974299
ATG,2017,19.0159494088973
ATG,2018,18.9233007168875
ATG,2019,19.0584631585727
AUS,2010,7.44515168368333
AUS,2011,7.32070663499973
AUS,2012,7.53280029437137
AUS,2013,7.4331406197536
AUS,2014,7.38760302103561
AUS,2015,7.18466162026884
AUS,2016,7.20069562395068
AUS,2017,7.4285359593217
AUS,2018,7.74121920379958
AUS,2019,9.33099031566264
AUT,2010,15.9865901400578
AUT,2011,16.3676317593698
AUT,2012,14.7199011900978
AUT,2013,14.6599487004805
AUT,2014,12.9541454673827
AUT,2015,13.5999635409
AUT,2016,12.5143795701306
AUT,2017,12.1557592255042
AUT,2018,12.5861934480679
AUT,2019,11.4645937760057
AZE,2010,23.1201756676417
AZE,2011,27.4281061456644
AZE,2012,29.1805878419231
AZE,2013,28.2339828650537
AZE,2014,26.4192082058383
AZE,2015,25.1867220505416
AZE,2016,24.3527968807853
AZE,2017,23.2421881518978
AZE,2018,23.2360923544978
AZE,2019,22.023834941184
BDI,2010,29.441963936206
BDI,2011,30.469165919309
BDI,2012,30.6146104955934
BDI,2013,29.7513341993496
BDI,2014,31.2135166042476
BDI,2015,30.120746318795
BDI,2016,30.7630623664928
BDI,2017,29.3039698472733
BDI,2018,28.3384994863636
BDI,2019,28.7747369895123
BEL,2010,16.9737148284819
BEL,2011,16.3662739599691
BEL,2012,15.2150084633195
BEL,2013,14.3697873081768
BEL,2014,12.9003587052878
BEL,2015,13.3390429399775
BEL,2016,12.3939007132505
BEL,2017,12.7691577876359
BEL,2018,12.4925874999047
BEL,2019,11.2143791835506
BEN,2010,44.8496835809048
BEN,2011,47.392759069621
BEN,2012,51.5628188212507
BEN,2013,42.0881252510416
BEN,2014,42.0112596872744
BEN,2015,66.6561284323416
BEN,2016,59.4793406242621
BEN,2017,58.3879587239383
BEN,2018,54.0562679352757
BEN,2019,46.5625275293874
BFA,2010,58.9472546424185
BFA,2011,55.571613014377
BFA,2012,61.7629044746867
BFA,2013,48.6056903850732
BFA,2014,49.9195641760489
BFA,2015,71.873244459767
BFA,2016,66.0917117316937
BFA,2017,60.3100692778775
BFA,2018,58.1036119011901
BFA,2019,50.7057233570721
BGD,2010,42.1588186962047
BGD,2011,52.2951110557553
