iso3,year,phys_inactive_pct
CAF,2019,16.6
CAN,2010,31.1
CAN,2011,31.6
CAN,2012,32.1
CAN,2013,32.6
CAN,2014,33.1
CAN,2015,33.5
CAN,2016,34.1
CAN,2017,34.6
CAN,2018,35.1
CAN,2019,35.6
CHE,2010,23.8
CHE,2011,23.3
CHE,2012,22.8
CHE,2013,22.3
CHE,2014,21.9
CHE,2015,21.4
CHE,2016,21.0
CHE,2017,20.7
CHE,2018,20.3
CHE,2019,20.0
CHL,2010,29.1
CHL,2011,29.8
CHL,2012,30.5
CHL,2013,31.2
CHL,2014,31.9
CHL,2015,32.7
CHL,2016,33.4
CHL,2017,34.2
CHL,2018,35.0
CHL,2019,35.8
CHN,2010,21.1
CHN,2011,21.3
CHN,2012,21.5
CHN,2013,21.7
CHN,2014,21.9
CHN,2015,22.1
CHN,2016,22.3
CHN,2017,22.5
CHN,2018,22.8
CHN,2019,23.0
CIV,2010,22.3
CIV,2011,22.0
CIV,2012,21.7
CIV,2013,21.4
CIV,2014,21.1
CIV,2015,20.8
CIV,2016,20.6
CIV,2017,20.4
CIV,2018,20.2
CIV,2019,20.1
CMR,2010,21.6
CMR,2011,21.3
CMR,2012,21.0
CMR,2013,20.7
CMR,2014,20.4
CMR,2015,20.1
CMR,2016,19.9
CMR,2017,19.7
CMR,2018,19.5
CMR,2019,19.3
COD,2010,16.4
COD,2011,16.2
COD,2012,16.0
COD,2013,15.8
COD,2014,15.6
COD,2015,15.5
COD,2016,15.3
COD,2017,15.2
COD,2018,15.1
COD,2019,15.0
COG,2010,18.8
COG,2011,18.5
COG,2012,18.1
COG,2013,17.9
COG,2014,17.6
COG,2015,17.3
COG,2016,17.1
COG,2017,16.8
COG,2018,16.6
COG,2019,16.4
COK,2010,41.5
COK,2011,40.0
COK,2012,38.5
COK,2013,37.0
COK,2014,35.6
COK,2015,34.2
COK,2016,32.8
COK,2017,31.5
COK,2018,30.2
COK,2019,29.0
COL,2010,29.7
COL,2011,30.1
COL,2012,30.5
COL,2013,30.9
COL,2014,31.3
COL,2015,31.7
COL,2016,32.1
COL,2017,32.4
COL,2018,32.8
COL,2019,33.2
COM,2010,12.3
COM,2011,12.6
COM,2012,13.0
COM,2013,13.3
