iso3,year,alcohol_lpa
CAF,2019,1.99
CAN,2010,10.21
CAN,2011,10.17
CAN,2012,10.1
CAN,2013,10.05
CAN,2014,9.95
CAN,2015,9.92
CAN,2016,9.92
CAN,2017,9.95
CAN,2018,9.9
CAN,2019,9.9
CHE,2010,11.32
CHE,2011,11.21
CHE,2012,11.1
CHE,2013,10.96
CHE,2014,10.87
CHE,2015,10.69
CHE,2016,10.53
CHE,2017,10.36
CHE,2018,10.4
CHE,2019,10.4
CHL,2010,7.79
CHL,2011,8.01
CHL,2012,7.9
CHL,2013,8.19
CHL,2014,8.04
CHL,2015,7.75
CHL,2016,7.02
CHL,2017,6.5
CHL,2018,6.75
CHL,2019,6.75
CHN,2010,5.9
CHN,2011,6.5
CHN,2012,6.92
CHN,2013,7.16
CHN,2014,7.29
CHN,2015,7.35
CHN,2016,7.18
CHN,2017,6.53
CHN,2018,5.73
CHN,2019,5.73
CIV,2010,2.82
CIV,2011,2.12
CIV,2012,2.15
CIV,2013,2.26
CIV,2014,2.44
CIV,2015,2.57
CIV,2016,2.65
CIV,2017,2.71
CIV,2018,2.8
CIV,2019,2.8
CMR,2010,12.55
CMR,2011,12.78
CMR,2012,12.98
CMR,2013,12.48
CMR,2014,11.72
CMR,2015,10.72
CMR,2016,10.41
CMR,2017,10.16
CMR,2018,10.1
CMR,2019,10.1
COD,2010,3.06
COD,2011,2.4
COD,2012,2.55
COD,2013,2.64
COD,2014,2.58
COD,2015,2.44
COD,2016,2.28
COD,2017,2.2
COD,2018,2.12
COD,2019,2.12
COG,2010,4.65
COG,2011,4.96
COG,2012,5.1
COG,2013,5.21
COG,2014,5.24
COG,2015,5.67
COG,2016,6.12
COG,2017,6.5
COG,2018,6.4
COG,2019,6.4
COL,2010,5.07
COL,2011,5.06
COL,2012,5.09
COL,2013,5.06
COL,2014,4.98
COL,2015,5.02
COL,2016,5.0
COL,2017,5.01
COL,2018,4.92
COL,2019,4.92
COM,2010,0.2
COM,2011,0.18
COM,2012,0.21
COM,2013,0.22
COM,2014,0.22
COM,2015,0.2
COM,2016,0.23
COM,2017,0.25
COM,2018,0.25
COM,2019,0.25
CPV,2010,5.63
CPV,2011,5.81
CPV,2012,5.58
CPV,2013,5.48
CPV,2014,5.52
CPV,2015,5.82
CPV,2016,6.11
CPV,2017,6.25
CPV,2018,6.27
CPV,2019,6.27
CRI,2010,4.0
CRI,2011,3.68
CRI,2012,3.43
CRI,2013,3.39
CRI,2014,3.39
CRI,2015,3.5
CRI,2016,3.53
CRI,2017,3.55
CRI,2018,3.45
CRI,2019,3.45
CUB,2010,5.5
CUB,2011,5.55
CUB,2012,5.58
CUB,2013,5.66
CUB,2014,5.77
CUB,2015,5.85
CUB,2016,5.91
CUB,2017,5.95
CUB,2018,6.01
CUB,2019,6.01
CYP,2010,9.12
CYP,2011,9.07
CYP,2012,8.52
CYP,2013,8.26
CYP,2014,8.01
CYP,2015,8.12
CYP,2016,8.09
CYP,2017,8.07
CYP,2018,8.05
CYP,2019,8.05
CZE,2010,13.33
CZE,2011,13.13
CZE,2012,13.08
CZE,2013,13.14
CZE,2014,13.11
CZE,2015,13.22
CZE,2016,13.2
CZE,2017,13.26
CZE,2018,13.29
CZE,2019,13.29
DEU,2010,12.41
DEU,2011,12.39
DEU,2012,12.39
DEU,2013,12.31
DEU,2014,12.23
DEU,2015,12.15
DEU,2016,12.17
DEU,2017,12.23
DEU,2018,12.22
DEU,2019,12.22
DJI,2010,0.69
DJI,2011,0.67
DJI,2012,0.66
DJI,2013,0.65
DJI,2014,0.59
DJI,2015,0.53
DJI,2016,0.49
DJI,2017,0.47
DJI,2018,0.4
DJI,2019,0.4
DMA,2010,6.55
DMA,2011,6.37
DMA,2012,6.39
DMA,2013,6.4
DMA,2014,6.41
DMA,2015,6.31
DMA,2016,6.3
DMA,2017,6.21
DMA,2018,6.1
DMA,2019,6.1
DNK,2010,10.39
DNK,2011,10.11
DNK,2012,9.83
DNK,2013,9.55
DNK,2014,9.6
DNK,2015,9.61
DNK,2016,9.52
DNK,2017,9.5
DNK,2018,9.4
DNK,2019,9.4
DOM,2010,6.84
DOM,2011,6.78
DOM,2012,6.73
DOM,2013,6.65
DOM,2014,6.59
DOM,2015,6.57
DOM,2016,6.64
DOM,2017,6.69
DOM,2018,6.76
DOM,2019,6.76
DZA,2010,0.44
DZA,2011,0.44
DZA,2012,0.48
DZA,2013,0.52
DZA,2014,0.56
DZA,2015,0.58
DZA,2016,0.6
DZA,2017,0.61
DZA,2018,0.61
DZA,2019,0.61
ECU,2010,4.12
ECU,2011,4.19
ECU,2012,4.19
ECU,2013,4.13
ECU,2014,4.06
ECU,2015,3.85
ECU,2016,3.53
ECU,2017,3.3
ECU,2018,3.26
ECU,2019,3.26
EGY,2010,0.2
EGY,2011,0.2
EGY,2012,0.19
EGY,2013,0.19
EGY,2014,0.19
EGY,2015,0.18
EGY,2016,0.16
EGY,2017,0.15
EGY,2018,0.15
EGY,2019,0.15
ERI,2010,1.45
ERI,2011,1.42
ERI,2012,1.4
ERI,2013,1.35
ERI,2014,1.35
ERI,2015,1.32
ERI,2016,1.29
ERI,2017,1.24
ERI,2018,1.23
ERI,2019,1.23
ESP,2010,9.49
ESP,2011,9.0
ESP,2012,8.88
ESP,2013,8.59
ESP,2014,9.19
ESP,2015,9.94
ESP,2016,10.93
ESP,2017,10.93
ESP,2018,10.91
ESP,2019,10.91
EST,2010,14.23
EST,2011,14.73
EST,2012,15.45
EST,2013,15.71
EST,2014,15.64
EST,2015,15.06
EST,2016,13.92
EST,2017,12.33
EST,2018,11.26
EST,2019,11.26
ETH,2010,1.67
ETH,2011,1.81
ETH,2012,1.95
ETH,2013,2.11
ETH,2014,2.27
ETH,2015,2.52
ETH,2016,2.77
ETH,2017,3.08
ETH,2018,3.36
ETH,2019,3.36
FIN,2010,10.74
FIN,2011,10.5
FIN,2012,10.28
FIN,2013,9.92
FIN,2014,9.66
FIN,2015,9.43
FIN,2016,9.3
FIN,2017,9.23
FIN,2018,9.16
FIN,2019,9.16
FJI,2010,2.85
FJI,2011,2.81
FJI,2012,2.95
FJI,2013,2.98
FJI,2014,3.03
FJI,2015,3.06
FJI,2016,3.05
FJI,2017,3.18
FJI,2018,3.45
FJI,2019,3.45
FRA,2010,12.25
FRA,2011,12.11
FRA,2012,11.93
FRA,2013,11.84
FRA,2014,11.73
FRA,2015,11.73
FRA,2016,11.6
FRA,2017,11.4
FRA,2018,11.3
FRA,2019,11.3
FSM,2010,2.5
FSM,2011,2.83
FSM,2012,2.77
FSM,2013,2.62
FSM,2014,2.1
FSM,2015,2.09
FSM,2016,2.13
FSM,2017,2.13
FSM,2018,2.12
FSM,2019,2.12
GAB,2010,8.91
GAB,2011,8.68
GAB,2012,8.41
GAB,2013,8.47
GAB,2014,8.66
GAB,2015,8.6
GAB,2016,8.2
GAB,2017,7.69
GAB,2018,7.33
GAB,2019,7.33
GBR,2010,10.95
GBR,2011,10.79
GBR,2012,10.57
GBR,2013,10.44
GBR,2014,10.44
GBR,2015,10.52
GBR,2016,10.64
GBR,2017,10.77
GBR,2018,10.82
GBR,2019,10.82
GEO,2010,14.84
GEO,2011,14.99
GEO,2012,14.67
GEO,2013,14.22
GEO,2014,14.02
GEO,2015,13.95
GEO,2016,13.97
GEO,2017,13.97
GEO,2018,14.33
GEO,2019,14.33
GHA,2010,5.45
GHA,2011,5.31
GHA,2012,5.07
GHA,2013,5.08
GHA,2014,5.1
GHA,2015,5.01
GHA,2016,4.71
GHA,2017,4.58
GHA,2018,4.55
GHA,2019,4.55
GIN,2010,0.31
GIN,2011,0.34
GIN,2012,0.36
GIN,2013,0.39
GIN,2014,0.45
GIN,2015,0.5
GIN,2016,0.49
GIN,2017,0.47
GIN,2018,0.47
GIN,2019,0.47
GMB,2010,3.17
GMB,2011,3.05
GMB,2012,2.87
GMB,2013,2.76
GMB,2014,2.35
GMB,2015,2.07
GMB,2016,1.62
GMB,2017,1.36
GMB,2018,1.11
GMB,2019,1.11
GNB,2010,3.88
GNB,2011,3.93
GNB,2012,3.94
GNB,2013,3.91
GNB,2014,3.91
GNB,2015,3.99
GNB,2016,4.08
GNB,2017,4.19
GNB,2018,4.14
GNB,2019,4.14
GNQ,2010,9.16
GNQ,2011,9.98
GNQ,2012,9.97
GNQ,2013,9.73
GNQ,2014,9.21
GNQ,2015,8.71
GNQ,2016,7.87
GNQ,2017,7.19
GNQ,2018,6.94
GNQ,2019,6.94
GRC,2010,8.72
GRC,2011,8.48
GRC,2012,8.24
GRC,2013,8.1
GRC,2014,7.77
GRC,2015,7.48
GRC,2016,7.34
GRC,2017,7.28
GRC,2018,7.12
GRC,2019,7.12
GRD,2010,7.55
GRD,2011,7.46
GRD,2012,7.48
GRD,2013,7.54
GRD,2014,7.63
GRD,2015,7.77
GRD,2016,7.84
GRD,2017,7.94
GRD,2018,8.06
GRD,2019,8.06
GTM,2010,2.04
GTM,2011,2.0
GTM,2012,1.93
GTM,2013,1.81
GTM,2014,1.72
GTM,2015,1.65
GTM,2016,1.62
GTM,2017,1.62
GTM,2018,1.63
GTM,2019,1.63
GUY,2010,5.77
GUY,2011,5.83
GUY,2012,5.89
GUY,2013,5.95
GUY,2014,5.87
GUY,2015,5.75
GUY,2016,5.52
GUY,2017,5.41
GUY,2018,5.35
GUY,2019,5.35
HND,2010,3.13
HND,2011,3.1
HND,2012,3.1
HND,2013,2.99
HND,2014,2.91
HND,2015,2.85
HND,2016,2.94
HND,2017,3.06
HND,2018,3.17
HND,2019,3.17
HRV,2010,9.48
HRV,2011,9.42
HRV,2012,9.32
HRV,2013,8.91
HRV,2014,8.69
HRV,2015,8.59
HRV,2016,8.65
HRV,2017,8.63
HRV,2018,8.54
HRV,2019,8.54
HTI,2010,3.14
HTI,2011,2.74
HTI,2012,2.95
HTI,2013,3.06
HTI,2014,3.19
HTI,2015,3.22
HTI,2016,3.38
HTI,2017,3.5
HTI,2018,3.45
HTI,2019,3.45
HUN,2010,10.84
HUN,2011,10.72
HUN,2012,10.72
HUN,2013,10.58
HUN,2014,10.52
HUN,2015,10.68
HUN,2016,10.63
HUN,2017,10.75
HUN,2018,10.6
HUN,2019,10.6
IDN,2010,0.1
IDN,2011,0.11
IDN,2012,0.11
IDN,2013,0.11
IDN,2014,0.11
IDN,2015,0.11
IDN,2016,0.11
IDN,2017,0.11
IDN,2018,0.11
IDN,2019,0.11
IND,2010,4.62
IND,2011,4.89
IND,2012,5.02
IND,2013,5.04
IND,2014,5.02
IND,2015,4.96
IND,2016,4.87
IND,2017,4.87
IND,2018,4.92
IND,2019,4.92
IRL,2010,12.21
IRL,2011,12.29
IRL,2012,11.93
IRL,2013,11.72
IRL,2014,11.49
IRL,2015,11.71
IRL,2016,11.76
IRL,2017,11.85
IRL,2018,11.7
IRL,2019,11.7
IRN,2010,1.12
IRN,2011,1.46
IRN,2012,1.41
IRN,2013,0.79
IRN,2014,0.42
IRN,2015,0.44
IRN,2016,0.82
IRN,2017,0.97
IRN,2018,0.7
IRN,2019,0.7
IRQ,2010,0.24
IRQ,2011,0.25
IRQ,2012,0.24
IRQ,2013,0.23
IRQ,2014,0.23
IRQ,2015,0.23
IRQ,2016,0.24
IRQ,2017,0.24
IRQ,2018,0.24
IRQ,2019,0.24
ISL,2010,7.47
ISL,2011,7.34
ISL,2012,7.33
ISL,2013,7.38
ISL,2014,7.64
ISL,2015,7.85
ISL,2016,8.07
ISL,2017,8.08
ISL,2018,8.07
ISL,2019,8.07
ISR,2010,3.16
ISR,2011,3.21
ISR,2012,3.22
ISR,2013,3.14
ISR,2014,3.03
ISR,2015,2.94
ISR,2016,2.95
ISR,2017,2.97
ISR,2018,3.01
ISR,2019,3.01
ITA,2010,7.22
ITA,2011,7.57
ITA,2012,7.69
ITA,2013,7.88
ITA,2014,7.77
ITA,2015,7.68
ITA,2016,7.61
ITA,2017,7.81
ITA,2018,7.97
ITA,2019,7.97
JAM,2010,3.04
