iso3,year,life_expectancy
BRA,2019,75.809
BRB,2010,75.488
BRB,2011,75.599
BRB,2012,75.737
BRB,2013,75.816
BRB,2014,75.926
BRB,2015,76.055
BRB,2016,76.168
BRB,2017,76.237
BRB,2018,76.378
BRB,2019,76.495
BRN,2010,74.82
BRN,2011,74.835
BRN,2012,74.843
BRN,2013,74.854
BRN,2014,74.862
BRN,2015,74.88
BRN,2016,74.905
BRN,2017,74.943
BRN,2018,74.992
BRN,2019,75.049
BTN,2010,68.765
BTN,2011,69.28
BTN,2012,69.759
BTN,2013,70.161
BTN,2014,70.504
BTN,2015,70.797
BTN,2016,71.119
BTN,2017,71.413
BTN,2018,71.711
BTN,2019,72.005
BWA,2010,59.137
BWA,2011,59.715
BWA,2012,60.384
BWA,2013,61.217
BWA,2014,62.167
BWA,2015,63.215
BWA,2016,64.32
BWA,2017,65.42
BWA,2018,66.371
BWA,2019,67.167
CAF,2010,46.871
CAF,2011,50.107
CAF,2012,51.336
CAF,2013,49.487
CAF,2014,40.265
CAF,2015,51.934
CAF,2016,50.999
CAF,2017,45.231
CAF,2018,52.297
CAF,2019,31.53
CAN,2010,81.3221951219512
CAN,2011,81.4826829268293
CAN,2012,81.6636585365854
CAN,2013,81.7448780487805
CAN,2014,81.7843902439025
CAN,2015,81.8258536585366
CAN,2016,81.94
CAN,2017,81.8129268292683
CAN,2018,81.8087804878049
CAN,2019,82.1636585365854
CHE,2010,82.2463414634147
CHE,2011,82.6951219512195
CHE,2012,82.6975609756098
CHE,2013,82.7975609756098
CHE,2014,83.1975609756098
CHE,2015,82.8975609756098
CHE,2016,83.6024390243903
CHE,2017,83.5512195121951
CHE,2018,83.7536585365854
CHE,2019,83.9048780487805
CHI,2010,81.2
CHI,2011,81.4
CHI,2012,81.3
CHI,2013,81.5
CHI,2014,81.6
CHI,2015,81.4
CHI,2016,81.2
CHI,2017,81.0
CHI,2018,81.1
CHI,2019,81.2
CHL,2010,79.095
CHL,2011,79.236
CHL,2012,79.221
CHL,2013,79.551
CHL,2014,79.714
CHL,2015,80.008
CHL,2016,80.295
CHL,2017,80.61
CHL,2018,80.559
CHL,2019,80.324
CHN,2010,75.668
CHN,2011,75.889
CHN,2012,76.2
CHN,2013,76.452
CHN,2014,76.714
CHN,2015,76.975
CHN,2016,77.214
CHN,2017,77.235
CHN,2018,77.709
CHN,2019,77.94
CIV,2010,55.282
CIV,2011,55.972
CIV,2012,56.57
CIV,2013,57.057
CIV,2014,57.772
CIV,2015,58.281
CIV,2016,58.814
CIV,2017,59.315
CIV,2018,59.795
CIV,2019,60.274
CMR,2010,56.965
CMR,2011,57.482
CMR,2012,58.17
CMR,2013,58.73
CMR,2014,59.13
CMR,2015,59.687
CMR,2016,60.293
CMR,2017,60.817
CMR,2018,61.189
CMR,2019,61.695
COD,2010,56.411
COD,2011,56.911
COD,2012,57.35
